Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
5 5 -8.568195 0.0 -90.0142 14.1099 -160.323 387.643 -2573.84 386.983 -2647.0 0.0 386.983 -2647.0 -9.45195 -90.0142 -2359.4832 -11.2127 -11.2127
5 6 -8.568195 0.0 -90.0142 14.1099 -160.323 387.643 -2573.84 386.983 -2647.0 0.0 386.983 -2647.0 -9.45195 -90.0142 -2359.4832 -11.2127 -11.2127
5 7 -8.273512 0.0 -87.2441 14.1115 -160.091 387.643 -2573.84 386.891 -2646.09 0.0 386.891 -2646.09 -10.06 -87.2441 -2356.5034 -10.7245 -10.7245
6 0 -7.419557 0.0 -60.2933 13.7498 -161.82 387.643 -2573.84 389.405 -2679.97 0.0 389.405 -2679.97 -11.9824 -60.2933 -2362.8406 8.23622 8.23622
6 1 -7.419557 0.0 -60.2933 13.7498 -161.82 387.643 -2573.84 389.405 -2679.97 0.0 389.405 -2679.97 -11.9824 -60.2933 -2362.8406 8.23622 8.23622
6 2 -7.419557 0.0 -60.2933 13.7498 -161.82 387.643 -2573.84 389.405 -2679.97 0.0 389.405 -2679.97 -11.9824 -60.2933 -2362.8406 8.23622 8.23622
6 3 -7.419557 0.0 -60.2933 13.7498 -161.82 387.643 -2573.84 389.405 -2679.97 0.0 389.405 -2679.97 -11.9824 -60.2933 -2362.8406 8.23622 8.23622
6 4 -7.769168 0.0 -68.2548 13.694 -161.037 387.643 -2573.84 388.435 -2671.18 0.0 388.435 -2671.18 -11.7868 -68.2548 -2362.7864 3.11988 3.11988
6 5 -7.769168 0.0 -68.2548 13.694 -161.037 387.643 -2573.84 388.435 -2671.18 0.0 388.435 -2671.18 -11.7868 -68.2548 -2362.7864 3.11988 3.11988
6 6 -7.5382566 0.0 -63.5365 13.7371 -161.294 387.643 -2573.84 388.894 -2675.6 0.0 388.894 -2675.6 -11.8945 -63.5365 -2362.137 6.08316 6.08316
6 7 -7.5382566 0.0 -63.5365 13.7371 -161.294 387.643 -2573.84 388.894 -2675.6 0.0 388.894 -2675.6 -11.8945 -63.5365 -2362.137 6.08316 6.08316
7 0 -8.346439 0.0 -85.1912 13.9967 -163.909 387.643 -2573.84 386.082 -2653.2 0.0 386.082 -2653.2 -6.99078 -85.1912 -2359.2998 -9.6815 -9.6815
7 1 -8.346439 0.0 -85.1912 13.9967 -163.909 387.643 -2573.84 386.082 -2653.2 0.0 386.082 -2653.2 -6.99078 -85.1912 -2359.2998 -9.6815 -9.6815
7 2 -8.38805 0.0 -86.5068 13.978 -164.182 387.643 -2573.84 386.109 -2652.19 0.0 386.109 -2652.19 -6.54307 -86.5068 -2359.1309 -9.81968 -9.81968
7 3 -8.280508 0.0 -85.9835 13.966 -163.988 387.643 -2573.84 386.118 -2651.08 0.0 386.118 -2651.08 -7.72284 -85.9835 -2358.6685 -10.4604 -10.4604
7 4 -8.280508 0.0 -85.9835 13.966 -163.988 387.643 -2573.84 386.118 -2651.08 0.0 386.118 -2651.08 -7.72284 -85.9835 -2358.6685 -10.4604 -10.4604
7 5 -8.280508 0.0 -85.9835 13.966 -163.988 387.643 -2573.84 386.118 -2651.08 0.0 386.118 -2651.08 -7.72284 -85.9835 -2358.6685 -10.4604 -10.4604
7 6 -8.280508 0.0 -85.9835 13.966 -163.988 387.643 -2573.84 386.118 -2651.08 0.0 386.118 -2651.08 -7.72284 -85.9835 -2358.6685 -10.4604 -10.4604
7 7 -8.280508 0.0 -85.9835 13.966 -163.988 387.643 -2573.84 386.118 -2651.08 0.0 386.118 -2651.08 -7.72284 -85.9835 -2358.6685 -10.4604 -10.4604
8 0 -10.025672 0.0 -121.243 13.3335 -156.234 387.643 -2573.84 386.107 -2618.3 0.0 386.107 -2618.3 -4.07363 -121.243 -2357.5098 -2.77756 -2.77756
8 1 -10.025672 0.0 -121.243 13.3335 -156.234 387.643 -2573.84 386.107 -2618.3 0.0 386.107 -2618.3 -4.07363 -121.243 -2357.5098 -2.77756 -2.77756
8 2 -10.025672 0.0 -121.243 13.3335 -156.234 387.643 -2573.84 386.107 -2618.3 0.0 386.107 -2618.3 -4.07363 -121.243 -2357.5098 -2.77756 -2.77756
8 3 -10.0204525 0.0 -121.419 13.3269 -155.848 387.643 -2573.84 385.986 -2617.38 0.0 385.986 -2617.38 -3.83456 -121.419 -2356.6475 -2.80611 -2.80611
8 4 -10.0204525 0.0 -121.419 13.3269 -155.848 387.643 -2573.84 385.986 -2617.38 0.0 385.986 -2617.38 -3.83456 -121.419 -2356.6475 -2.80611 -2.80611
8 5 -10.0204525 0.0 -121.419 13.3269 -155.848 387.643 -2573.84 385.986 -2617.38 0.0 385.986 -2617.38 -3.83456 -121.419 -2356.6475 -2.80611 -2.80611
8 6 -10.0204525 0.0 -121.419 13.3269 -155.848 387.643 -2573.84 385.986 -2617.38 0.0 385.986 -2617.38 -3.83456 -121.419 -2356.6475 -2.80611 -2.80611
8 7 -10.051181 0.0 -121.944 13.3165 -155.936 387.643 -2573.84 385.899 -2617.04 0.0 385.899 -2617.04 -3.5443 -121.944 -2356.6294 -2.98273 -2.98273
9 0 -8.335169 0.0 -92.5718 13.4186 -162.664 387.643 -2573.84 388.433 -2644.89 0.0 388.433 -2644.89 -8.24492 -92.5718 -2357.2734 -2.03626 -2.03626
